کد نماد	گروه	گروه های صنعت	تابلو	نماد	نام لاتین	نماد	نام
IRR1IPTR0101	N1	محصولات شيميايي	تابلو فرعي	IPTX1	Ir.Inv.Petr-R	پترولح	ح . گروه پتروشيمي س. ايرانيان
IRO1GOLP0001	N2	خرده فروشي،باستثناي وسايل نقليه موتوري	فهرست اوليه	GOLP1	GolPakhsh-e-AvalCo	پخش اول	گلپخش اول
IRO1DRKH0001	N2	لاستيك و پلاستيك	فهرست اوليه	DRKH1	Derakhshan Teh.	پدرخش	درخشان‌ تهران‌
IRR1DRKH0101	N2	لاستيك و پلاستيك	فهرست اوليه	DRKX1	Derakhshan Teh.-R	پدرخشح	ح . درخشان‌ تهران‌
IRO1DENA0001	N2	لاستيك و پلاستيك	فهرست اوليه	DENA1	Dena Tire	پدنا	توليدي‌لاستيك‌دنا
IRR1DENA0101	N2	لاستيك و پلاستيك	فهرست اوليه	DENX1	Dena Tire-R	پدناح	ح . توليدي‌لاستيك‌دنا
IRO1PRKT0001	N2	رايانه و فعاليت‌هاي وابسته به آن	فهرست اوليه	PRKT1	Behpardakht Mellat	پرداخت	به پرداخت ملت
IRR1PRKT0101	N2	رايانه و فعاليت‌هاي وابسته به آن	فهرست اوليه	PRKX1	Behpardakht-R	پرداختح	ح . به پرداخت ملت
IRO1AYEG0001	N1	سرمايه گذاريها	تابلو اصلي	AYEG1	Pardis Invsetment	پرديس	سرمايه گذاري پرديس
IRR1AYEG0101	N1	سرمايه گذاريها	تابلو اصلي	AYEX1	Ayegh Plastic-R	پرديسح	ح . سرمايه گذاري پرديس
IRO1PERS0001	N2	استخراج نفت گاز و خدمات جنبي جز اکتشاف	فهرست اوليه	PERS1	Oil&Gas Persia	پرشيا	توسعه صنعت نفت و گاز پرشيا
IRO1SHND0001	N2	لاستيك و پلاستيك	فهرست اوليه	SHND1	Sahand Rubber	پسهند	صنايع‌ لاستيكي‌ سهند
IRR1SHND0101	N2	لاستيك و پلاستيك	فهرست اوليه	SHNX1	Sahand Rubber-R	پسهندح	ح . صنايع‌ لاستيكي‌ سهند
IRO1SHIN0001	N2	لاستيك و پلاستيك	فهرست اوليه	SHIN1	Shahin Plastic	پشاهن	پلاستيك‌ شاهين‌
IRR1SHIN0101	N2	لاستيك و پلاستيك	فهرست اوليه	SHIX1	Shahin Plastic-R	پشاهنح	ح . پلاستيك‌ شاهين‌
IRO1BARZ0001	N2	لاستيك و پلاستيك	فهرست اوليه	BARZ1	Kerman Tire	پكرمان	گروه‌ صنعتي‌ بارز
IRR1BARZ0101	N2	لاستيك و پلاستيك	فهرست اوليه	BARX1	Kerman Tire-R	پكرمانح	ح . گروه‌ صنعتي‌ بارز
IRO1KVRZ0001	N1	لاستيك و پلاستيك	تابلو فرعي	KVRZ1	Kavir Tire	پكوير	كوير تاير
IRO1LALZ0001	N2	لاستيك و پلاستيك	فهرست اوليه	LALZ1	Alborz Tire	پكيان	لاستيك‌البرز
IRR1LALZ0101	N2	لاستيك و پلاستيك	فهرست اوليه	LALX1	Alborz Tire-R	پكيانح	ح . لاستيك‌البرز
IRO1PLST0001	N2	لاستيك و پلاستيك	فهرست اوليه	PLST1	Plastiran	پلاست	پلاستيران‌
IRR1PLST0101	N2	لاستيك و پلاستيك	فهرست اوليه	PLSX1	Plastiran-R	پلاستح	ح . پلاستيران‌
IRO1PLKK0001	N2	لاستيك و پلاستيك	فهرست اوليه	PLKK1	Plascokar Saipa	پلاسك	پلاسكوكار
IRR1PLKK0101	N2	لاستيك و پلاستيك	فهرست اوليه	PLKX1	Plascokar Saipa-R	پلاسكح	ح . پلاسكوكار
IRO1GAZL0001	N2	لاستيك و پلاستيك	فهرست اوليه	GAZL1	Gazlouleh	پلوله	گازلوله‌
IRR1GAZL0101	N2	لاستيك و پلاستيك	فهرست اوليه	GAZX1	Gazlouleh-R	پلولهح	ح . گازلوله‌
IRO1LYZD0001	N2	ماشين آلات و تجهيزات	فهرست اوليه	LYZD1	Yazd Tire	پيزد	مجتمع‌صنايع‌لاستيك‌يزد
IRO1PTAP0001	N2	محصولات شيميايي	فهرست اوليه	PTAP1	Tamin Petro.	تاپيكو	س. نفت و گاز و پتروشيمي تأمين
IRR1PTAP0101	N2	محصولات شيميايي	فهرست اوليه	PTAX1	Tamin Petro.-R	تاپيكوح	ح . س.نفت وگازوپتروشيمي تأمين
IRO1SADR0001	N2	استخراج کانه هاي فلزي	فهرست اوليه	SADR1	Sadr Tamin Inv.	تاصيكو	سرمايه گذاري صدرتامين
IRR1SADR0101	N2	استخراج کانه هاي فلزي	فهرست اوليه	SDDX1	Sadr Tamin Inv-R	تاصيكوح	ح . سرمايه گذاري صدرتامين
IRO1TRIR0001	N1	ماشين آلات و تجهيزات	تابلو اصلي	TRIR1	Iran Tractor	تايرا	تراكتورسازي‌ايران‌
IRR1TRIR0101	N1	ماشين آلات و تجهيزات	تابلو اصلي	TRIX1	Iran Tractor -R	تايراح	ح . تراكتورسازي‌ايران‌
IRO1HPKO0001	N2	ماشين آلات و تجهيزات	فهرست اوليه	HPKO1	Hepco	تپكو	توليدتجهيزات‌سنگين‌هپكو
IRR1HPKO0101	N2	ماشين آلات و تجهيزات	فهرست اوليه	HPKX1	Hepco-R	تپكوح	ح . توليدتجهيزات‌سنگين‌هپكو
IRO1PIRN0001	N2	ماشين آلات و تجهيزات	فهرست اوليه	PIRN1	Pumpiran	تپمپي	پمپ‌ سازي‌ ايران‌
IRR1PIRN0101	N2	ماشين آلات و تجهيزات	فهرست اوليه	PIRX1	Pumpiran-R	تپمپيح	ح . پمپ‌ سازي‌ ايران‌
IRO1TDBR0001	N2	شرکتهاي چند رشته اي صنعتي	فهرست اوليه	TDBR1	Tadbir Investment	تدبير	گروه سرمايه گذاري تدبير
IRO1MOZI0001	N2	ماشين آلات و تجهيزات	فهرست اوليه	MOZI1	Iran Tractor M.	تراك	ماشين‌آلات صنعتي تراكتورسازي‌
IRR1MOZI0101	N2	ماشين آلات و تجهيزات	فهرست اوليه	MOZX1	Iran Tractor M.-R	تراكح	ح.ماشين‌آلات صنعتي تراكتورسازي
IRO1FROZ0001	N2	ماشين آلات و تجهيزات	فهرست اوليه	FROZ1	Firouza	تفيرو	فيروزا
IRR1FROZ0101	N2	ماشين آلات و تجهيزات	فهرست اوليه	FROX1	Firouza-R	تفيروح	ح . فيروزا
IRO1TKLA0001	N1	فعاليتهاي كمكي به نهادهاي مالي واسط	تابلو اصلي	TKLA1	Good Exch.Prd.	تكالا	توليدكنندگان بورس كالاي ايران
IRO1GSKE0001	N2	ماشين آلات و تجهيزات	فهرست اوليه	GSKE1	A. I. S. D.	تكشا	گسترش‌صنايع‌وخدمات‌كشاورزي‌
IRR1GSKE0101	N2	ماشين آلات و تجهيزات	فهرست اوليه	GSKX1	A. I. S. D.-R	تكشاح	ح . صنايع‌وخدمات‌كشاورزي‌
IRO1COMB0001	N1	ماشين آلات و تجهيزات	تابلو فرعي	COMB1	Iran Combine	تكمبا	كمباين‌ سازي‌ ايران‌
IRR1COMB0101	N1	ماشين آلات و تجهيزات	تابلو فرعي	COMX1	Iran Combine-R	تكمباح	ح . كمباين‌ سازي‌ ايران‌
